trade_date,stock_code,side,shares,price
2016-08-26,600036.SH,sell,430.7054603265371,83.04
2016-08-26,600104.SH,sell,192.9551202269114,177.99
2016-08-26,600158.SH,sell,310.68195688634245,108.29
2016-08-26,600318.SH,sell,849.0846764005881,42.28
2016-08-26,600391.SH,sell,393.28768753524173,95.76
2016-08-26,600519.SH,sell,16.721614677213847,2111.65
2016-08-26,600796.SH,sell,434.6688475386471,82.59
2016-08-26,600838.SH,sell,208.11188474328617,141.06
2016-08-26,600872.SH,sell,224.04855593969214,155.48
2016-08-26,600900.SH,sell,957.3146698191165,37.58
2016-08-26,601007.SH,sell,2438.811149335385,14.67
2016-08-26,601088.SH,sell,1796.761767678522,19.77
2016-08-26,601166.SH,sell,610.2209777021395,58.42
2016-08-26,601288.SH,sell,8329.303971744053,4.34
2016-08-26,601318.SH,sell,467.0131406038359,75.91
2016-08-26,601328.SH,sell,3885.2056404996606,9.3
2016-08-26,601398.SH,sell,5187.760132690299,7.01
2016-08-26,601668.SH,sell,4626.19846884238,7.54
2016-08-26,601766.SH,sell,3242.9358733709905,10.55
2016-08-26,601857.SH,sell,3839.497338846724,9.34
2016-08-26,601988.SH,sell,6672.73236398083,5.41
2016-08-26,601998.SH,sell,4253.471577987781,8.37
2016-08-26,601999.SH,sell,3317.8650756207826,10.67
2016-08-26,000002.SZ,buy,11.272066036741315,3039.39
2016-08-26,000710.SZ,buy,442.98170146639745,77.34
2016-08-26,600000.SH,buy,226.24450103289428,151.43
2016-08-26,600004.SH,buy,1420.4065004731003,24.12
2016-08-26,600009.SH,buy,407.8595808501331,84.0
2016-08-26,600016.SH,buy,192.2894134333007,178.17
2016-08-26,600028.SH,buy,2762.919741242837,12.4
2016-08-26,600030.SH,buy,397.035633229936,86.29
2016-08-26,600036.SH,buy,412.5747205131404,83.04
2016-08-26,600104.SH,buy,192.48387432671038,177.99
2016-08-26,600158.SH,buy,316.37459406603733,108.29
2016-08-26,600318.SH,buy,810.3170480466221,42.28
2016-08-26,600391.SH,buy,357.77156214923957,95.76
2016-08-26,600519.SH,buy,16.224376573490485,2111.65
2016-08-26,600796.SH,buy,414.8226757647558,82.59
2016-08-26,600872.SH,buy,220.35120138545912,155.48
2016-08-26,600900.SH,buy,911.6605851892278,37.58
2016-08-26,601007.SH,buy,2335.3922829864473,14.67
